Admin Level 1,Admin Level 2,Office Name,Office Code,
Somali Region,Fafan,Jigjiga,ET06,
Somali Region,Shabelle,Gode,ET10,
SNNPR,Arba Minch Zuria,Arba Minch,ET12,
SNNPR,Sidama,Awassa,ET03,
,,,,
,,,,
,,,,
,,,,
,,,,
